x,y
1.5774,1.98832
1.5707,1.98968
1.564,1.98832
1.5574,1.98424
1.5507,1.97744
1.544,1.97064
1.5374,1.96112
1.5307,1.95024
1.524,1.938
1.5174,1.92576
1.5107,1.91216
1.504,1.8972
1.4974,1.88224
1.4907,1.86592
1.484,1.85096
1.4774,1.83464
1.4707,1.81832
1.464,1.80336
1.4574,1.77072
1.4507,1.73536
1.444,1.69864
1.4374,1.66328
1.4307,1.62928
1.424,1.59392
1.4174,1.56128
1.4107,1.52728
1.404,1.496
1.3974,1.46472
1.3907,1.4348
1.384,1.40624
1.3774,1.37768
1.3707,1.35048
1.364,1.32464
1.3574,1.2988
1.3507,1.27568
1.344,1.25256
1.3374,1.22944
1.3307,1.20768
1.324,1.18728
1.3174,1.16824
1.3107,1.1492
1.304,1.13152
1.2974,1.1152
1.2907,1.10024
1.284,1.08664
1.2774,1.0744
1.2707,1.06352
1.264,1.054
1.2574,1.0472
1.2507,1.04176
1.244,1.03904
1.2374,1.03768
1.2307,1.03904
1.224,1.04176
1.2174,1.0472
1.2107,1.05536
1.204,1.06488
1.1974,1.07712
1.1907,1.09072
1.184,1.10704
1.1774,1.12472
1.1707,1.14376
1.164,1.16416
1.1574,1.18592
1.1507,1.20768
1.144,1.22944
1.1374,1.25256
1.1307,1.27296
1.124,1.29336
1.1174,1.31104
1.1107,1.32736
1.104,1.34096
1.0974,1.35184
1.0907,1.35864
1.084,1.36272
1.0774,1.36272
1.0707,1.36
1.064,1.3532
1.0574,1.34368
1.0507,1.33144
1.044,1.31648
1.0374,1.30016
1.0307,1.28112
1.024,1.26072
1.0174,1.23896
1.0107,1.21584
1.004,1.19272
0.9974,1.1696
0.9907,1.14512
0.984,1.12336
0.9774,1.10024
0.9707,1.07984
0.964,1.05944
0.9574,1.04176
0.9507,1.02544
0.944,1.01048
0.9374,0.99824
0.9307,0.99008
0.924,0.98328
0.9174,0.9792
0.9107,0.97784
0.9074,0.97784
0.904,0.9792
0.9007,0.98056
0.8974,0.98328
0.894,0.986
0.8907,0.98872
0.8874,0.9928
0.884,0.99824
0.8807,1.00368
0.8774,1.00912
0.874,1.01592
0.8707,1.02272
0.8674,1.02952
0.864,1.03768
0.8607,1.04584
0.8574,1.054
0.854,1.06352
0.8507,1.07168
0.8474,1.0812
0.844,1.09208
0.8407,1.1016
0.8374,1.11112
0.834,1.122
0.8307,1.13288
0.8274,1.14376
0.824,1.15464
0.8207,1.16552
0.8174,1.1764
0.814,1.18728
0.8107,1.19952
0.8074,1.2104
0.804,1.22128
0.8007,1.23352
0.7974,1.2444
0.794,1.25528
0.7907,1.26616
0.7874,1.27704
0.784,1.28792
0.7807,1.2988
0.7774,1.30968
0.774,1.32056
0.7707,1.33144
0.7674,1.34096
0.764,1.35048
0.7607,1.36136
0.7574,1.37088
0.754,1.3804
0.7507,1.38856
0.7474,1.39808
0.744,1.40624
0.7407,1.41576
0.7374,1.42392
0.734,1.43208
0.7307,1.43888
0.7274,1.44704
0.724,1.45384
0.7207,1.46064
0.7174,1.46608
0.714,1.47288
0.7107,1.47832
0.7074,1.48376
0.704,1.4892
0.7007,1.49464
0.6974,1.49872
0.694,1.5028
0.6907,1.50688
0.6874,1.51096
0.684,1.51368
0.6807,1.5164
0.6774,1.51912
0.674,1.52184
0.6707,1.5232
0.6674,1.52592
0.664,1.52728
0.6607,1.52864
0.6574,1.53
0.654,1.53
0.6507,1.53136
0.6474,1.53136
0.644,1.53136
0.6407,1.53136
0.6374,1.53136
0.634,1.53136
0.6307,1.53136
0.6274,1.53136
0.624,1.53136
0.6207,1.53
0.6174,1.53
0.614,1.53
0.6107,1.52864
0.6074,1.52864
0.604,1.52728
0.6007,1.52728
0.5974,1.52728
0.594,1.52728
0.5907,1.52592
0.5874,1.52592
0.584,1.52592
0.5807,1.52592
0.5774,1.52592
0.5716,1.52592
0.5658,1.52456
0.56,1.5232
0.5543,1.52184
0.5485,1.52048
0.5427,1.51776
0.5369,1.51504
0.5312,1.51232
0.5254,1.50824
0.5196,1.50416
0.5138,1.50144
0.5081,1.496
0.5023,1.49192
0.4965,1.48784
0.4907,1.48376
0.485,1.47832
0.4792,1.47424
0.4734,1.4688
0.4677,1.46472
0.4619,1.46064
0.4561,1.45656
0.4503,1.45248
0.4446,1.4484
0.4388,1.44568
0.433,1.4416
0.4272,1.43888
0.4215,1.43752
0.4157,1.4348
0.4099,1.4348
0.4041,1.43344
0.3984,1.43344
0.3926,1.43344
0.3868,1.4348
0.3811,1.43616
0.3753,1.43888
